Transcription-Units	Regulation - regulator proteins of transcription unit	Sequence - coordinates of DNA region	Genes of transcription unit	Direction
TU0-13756	G7072-MONOMER	[kduI 2,983,288 &larr; 2,984,124]	G7463	-
TU00209	CPLX0-7797 // CPLX0-7639 // PC00061 // PD00406 // PD04418 // PD00365	[zwf 1,934,839 &larr; 1,936,376]	EG11221	-
TU0-14161		[qorB 4,433,164 &larr; 4,434,024]	G7868	-
TU488	CPLX0-7705	[hupB 461,187 &rarr; 461,778]	EG10467	+
TU0-14677	PD00353	[artPIQM 900,695 &larr; 903,836]	EG11627 // EG11626 // EG11625 // EG11624	-
TU0-1062	G7072-MONOMER	[dsbA 4,043,377 &rarr; 4,044,044]	EG11297	+
TU0-12855		[ykfJ-prfH 253,467 &rarr; 254,202]	EG11496 // G6119	+
TU0-42589	PD00353	[relA 2,911,417 &larr; 2,913,700]	EG10835	-
TU0-6843	CPLX0-8593 // PD00266 // CPLX0-226	[nanCM 4,537,659 &larr; 4,539,928]	G7920 // G7921	-
TU0-13264	G6745-MONOMER	[sutR 1,506,150 &rarr; 1,506,708]	G6745	+
TU0-8684	CPLX0-226	[comR 1,168,200 &larr; 1,168,844]	G6569	-
TU0-13738	G7072-MONOMER	[queF 2,925,321 &rarr; 2,926,196]	G7452	+
TU00193	PC00061 // CPLX0-7705 // CPLX0-226	[mtlADR 3,771,926 &rarr; 3,776,419]	EG10615 // EG10616 // EG11965	+
TU0-14143		[epmB 4,374,629 &larr; 4,375,657]	G7836	-
TU401	CPLX0-226 // PHOSPHO-ARCA	[glpEGR 3,559,754 &larr; 3,561,849]	EG10400 // EG10397 // EG10395	-
TU0-14654	PD00353	[pyrG-eno 2,906,643 &larr; 2,909,713]	EG10258 // EG10810	-
TU-8433		[gspAB 3,453,508 &larr; 3,455,634]	EG11263 // G7701	-
TU0-12838		[gmhB 222,806 &rarr; 223,408]	EG11736	+
TU0-42565	G7072-MONOMER // PHOSPHO-ARCA	[yejG 2,277,893 &larr; 2,278,397]	EG12042	-
TU0-6650		[hisBHAFI 2,093,360 &rarr; 2,097,225]	EG10451 // EG10448 // EG10444 // EG10450 // EG10445	+
TU0-13246		[insI2 1,469,358 &rarr; 1,470,509]	G6725	+
TU0-8665		[ytjC 4,633,797 &rarr; 4,634,444]	EG12164	+
TU0-13721	G7416-MONOMER	[ygbJK 2,861,430 &rarr; 2,863,501]	G7418 // G7417	+
TU00177	CPLX0-226 // G7072-MONOMER	[ompR-envZ 3,534,473 &larr; 3,536,685]	EG10269 // EG10672	-
TU0-14125	G7072-MONOMER	[yjcF 4,281,783 &larr; 4,283,075]	EG11941	-
TU346	CPLX0-7797 // PHOSPHO-ARCA	[arcA 4,639,539 &larr; 4,640,535]	EG10061	-
TU0-14636		[flu 2,071,503 &rarr; 2,074,658]	G7080	+
TU-8401		[yejO 2,286,390 &larr; 2,290,180]	EG12051	-
TU0-1282	PD00406	[fldA-uof-fur 710,118 &larr; 711,521]	G0-10580 // EG10359 // EG10318	-
TU0-42537	EG11088-MONOMER // PHOSPHO-ARCA	[acpP 1,151,575 &rarr; 1,151,887]	EG50003	+
TU0-6583	G7630-MONOMER // G7072-MONOMER	[agaSYBCDI 3,281,614 &rarr; 3,287,025]	G7636 // G7635 // EG12770 // EG12769 // EG12768 // G7634	+
TU0-13229		[ydaGF 1,419,156 &larr; 1,419,456]	G6679 // G0-10448	-
TU0-8648		[yodD 2,024,986 &rarr; 2,025,213]	G7046	+
TU0-13702		[ypjB 2,783,638 &larr; 2,784,818]	G7384	-
TU00161	PC00061	[fruBKA 2,259,719 &larr; 2,263,597]	EG10336 // EG10337 // G7990	-
TU0-14107	G7072-MONOMER	[yjbB 4,227,602 &rarr; 4,229,362]	EG11919	+
TU25	G7003-MONOMER // EG12278-MONOMER	[eda 1,932,085 &larr; 1,933,109]	EG10256	-
TU0-14615		[acrB 481,254 &larr; 484,685]	EG11704	-
TU-8382	G7072-MONOMER // CPLX0-7797 // PHOSPHO-BAER	[ycaC 944,931 &larr; 945,557]	EG11241	-
TU0-12804		[yabI 71,271 &rarr; 72,115]	EG11571	+
TU0-42513	CPLX0-226	[ivbL 3,852,835 &larr; 3,853,023]	EG11275	-
TU0-6514	PD00353	[serB-radA 4,624,856 &rarr; 4,627,294]	EG11296 // EG10945	+
TU0-13212	G6658-MONOMER // EG12386-MONOMER	[ycjMNOPQRSTUV-ymjB-ompG 1,370,216 &rarr; 1,382,852]	G6657 // G0-10445 // G6656 // G6655 // G6654 // G6653 // G6652 // G6651 // G6650 // G6649 // G6648 // G6647	+
TU0-8631	G7072-MONOMER	[ykgL 312,112 &rarr; 312,339]	G6166	+
TU0-13685		[ratA-yfjF 2,754,008 &larr; 2,754,764]	G7358 // G7357	-
TU00144	PD00288 // CPLX0-2781	[cysPUWAM 2,538,672 &larr; 2,543,557]	EG10193 // EG10183 // EG10198 // EG10197 // EG10195	-
TU0-14082		[yiiR 4,112,315 &rarr; 4,112,755]	EG11875	+
TU104	PHOSPHO-ARCA	[putP 1,079,179 &rarr; 1,080,838]	EG10802	+
TU0-14565	G7072-MONOMER	[miaA-hfq-hflXKC 4,399,052 &rarr; 4,404,304]	EG10435 // EG10436 // EG10437 // EG10438 // EG10595	+
TU0-12786		[yjtD 4,640,942 &rarr; 4,641,628]	EG12309	+
TU0-42486	PD00353	[thrL 148 &rarr; 310]	EG11277	+
TU0-6483		[bcp 2,600,437 &rarr; 2,600,948]	EG10108	+
TU0-13190		[yciCB 1,312,261 &larr; 1,313,698]	EG11123 // EG11122	-
TU0-8613	EG12386-MONOMER	[yjfY 4,424,516 &larr; 4,424,791]	G7861	-
TU0-13666	PC00027 // MONOMER0-4147	[glmY 2,691,157 &larr; 2,691,340]	G0-8910	-
TU00128	CPLX0-7650 // CPLX0-226	[fucPIKUR 2,934,038 &rarr; 2,940,099]	EG10352 // EG10349 // EG10350 // EG10355 // EG10353	+
TU0-14065	G7072-MONOMER	[yihPO 4,064,363 &larr; 4,067,194]	EG11842 // EG11841	-
TU00514	CPLX0-7705	[alaWX 2,518,002 &larr; 2,518,253]	EG30012 // EG30011	-
TU0-14540	PD01352	[rutR 1,074,113 &rarr; 1,074,880]	EG12301	+
TU0-42466		[sdiA 1,996,110 &larr; 1,996,867]	EG10935	-
TU0-6403	CPLX0-7669 // G7072-MONOMER	[dapB 28,343 &rarr; 29,272]	EG10206	+
TU0-13172	PHOSPHO-ARCA	[dsbB 1,232,500 &larr; 1,233,030]	EG11393	-
TU0-8596	CPLX0-7916	[yidL 3,860,253 &rarr; 3,861,176]	EG11707	+
TU0-13648	G7072-MONOMER	[yfgHI 2,629,792 &rarr; 2,630,865]	G7317 // G7316	+
TU00112	CPLX0-7733 // PD00353 // G7072-MONOMER	[asnA 3,927,019 &rarr; 3,928,147]	EG10091	+
TU0-13577	EG12386-MONOMER	[yfbO 2,388,635 &rarr; 2,389,057]	G7181	+
TU0-14048		[rhtC 4,007,757 &rarr; 4,008,377]	EG11468	+
TU00498		[asnU 2,059,845 &rarr; 2,059,966]	EG30021	+
TU0-14520		[ubiX 2,428,030 &larr; 2,428,656]	EG11044	-
TU0-4242		[yghF 3,112,054 &larr; 3,113,049]	G7537	-
TU0-5981	PHOSPHO-PHOB	[ugpBAECQ 3,587,370 &larr; 3,592,378]	EG11050 // EG11048 // EG11049 // EG11046 // EG11047	-
TU0-13154		[mcrA 1,210,346 &rarr; 1,211,179]	EG10573	+
TU0-8579	PHOSPHO-ARCA	[yhgE 3,530,715 &larr; 3,532,439]	G7745	-
TU0-13630		[yffMN 2,561,368 &rarr; 2,561,993]	G7275 // G7274	+
TU00095	CPLX0-7691 // PD00353 // PD00230	[aidB 4,414,193 &rarr; 4,415,900]	EG11811	+
TU0-13561	EG12105-MONOMER	[ftp 2,310,479 &larr; 2,311,534]	EG12073	-
TU0-14031	CPLX0-7797	[ravA-viaA 3,928,152 &larr; 3,931,128]	EG11731 // EG11730	-
TU00482	CPLX0-226 // PC00061	[ptsHI-crr 2,533,552 &rarr; 2,536,380]	EG10788 // EG10789 // EG10165	+
TU0-14499		[pspE 1,369,659 &rarr; 1,370,003]	EG10780	+
TU0-4184		[lpxD 200,960 &rarr; 201,996]	EG10316	+
TU0-5569		[yggX 3,103,993 &rarr; 3,104,368]	G7532	+
TU0-13136	EG12386-MONOMER	[hinT-ycfL-lpoB-thiK-nagZ-ycfP 1,161,885 &rarr; 1,165,685]	G6568 // G6567 // G6566 // G6565 // G6564 // EG12172	+
TU0-8562	G7072-MONOMER	[ybeT 678,852 &larr; 679,406]	G6354	-
TU0-13613	EG12386-MONOMER // PHOSPHO-ARCA	[pyrSR-ypdC 2,498,671 &rarr; 2,501,987]	G7245 // G7244 // G7243	+
TU00079	PC00040	[cysK 2,532,324 &rarr; 2,533,424]	EG10192	+
TU0-13545		[psuT 2,256,085 &larr; 2,257,335]	EG12032	-
TU0-14015		[yidKJ 3,856,911 &larr; 3,860,116]	EG11706 // EG11705	-
TU00466	CPLX0-7740 // CPLX0-226	[ppiA 3,491,725 &larr; 3,492,449]	EG10757	-
TU0-14474		[holC-valS 4,480,982 &larr; 4,484,280]	EG11067 // EG11413	-
TU0-4021	EG11356-MONOMER // PD01352	[pdeR 1,344,757 &larr; 1,346,843]	G6639	-
TU0-5321	PD01520 // PHOSPHO-ARCA // PD00353	[fadIJ 2,457,015 &larr; 2,460,511]	G7212 // G7213	-
TU0-13120		[ycdXY 1,098,879 &rarr; 1,100,194]	G6541 // G6540	+
TU0-8546		[yagJ 291,500 &rarr; 292,231]	G6147	+
TU0-13597	RPON-MONOMER // PD00353 // CPLX0-7797	[yfcZ 2,460,650 &larr; 2,460,979]	G7214	-
TU00063	PD00221 // CPLX-124 // MONOMER-47 // CPLX0-226	[rhaSR 4,097,599 &rarr; 4,099,494]	EG10843 // EG10842	+
TU0-13525	EG12386-MONOMER	[yehS 2,211,726 &larr; 2,212,226]	EG12005	-
TU0-14	PD00214 // G7072-MONOMER	[gor 3,646,112 &rarr; 3,647,651]	EG10412	+
TU00448	CPLX0-7705 // CPLX0-7748 // PD00353	[nuoABCEFGHIJKLMN 2,390,005 &larr; 2,405,335]	EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12089 // EG12088 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12082	-
TU0-14454		[yiaKLMNO-lyx-sgbHUE 3,742,720 &rarr; 3,750,781]	EG12287 // EG12286 // EG12285 // EG12284 // EG12283 // EG12282 // EG12281 // EG12280 // EG12279	+
TU0-36440		[plsB 4,254,043 &larr; 4,256,502]	EG10740	-
TU0-5062		[yjaB 4,213,680 &larr; 4,214,123]	EG11207	-
TU0-13104		[tusE 1,030,339 &larr; 1,030,668]	EG12876	-
TU0-8529		[thiI 441,468 &rarr; 442,997]	G6238	+
TU0-13580	CPLX0-2781	[yfbR 2,408,831 &rarr; 2,409,461]	G7185	+
TU00047	PD00288 // CPLX0-8061 // MONOMER0-160 // CPLX0-7669 // CPLX0-226 // CPLX0-7705 // G7072-MONOMER	[nrdAB-yfaE 2,344,432 &rarr; 2,348,768]	EG12360 // EG10660 // EG10661	+
TU0-13507		[insE5EF5F5 2,170,236 &rarr; 2,171,398]	G7126 // G7125 // G0-10528	+
TU0-13984	MONOMER0-155 // PD00353	[avtA 3,739,674 &rarr; 3,740,958]	EG10107	+
TU00431	PC00027 // PD01520 // G7072-MONOMER	[uspA 3,639,983 &rarr; 3,640,591]	EG11390	+
TU0-14420		[symR 4,579,835 &rarr; 4,579,911]	G0-10610	+
TU0-36417	PHOSPHO-PHOP	[glgAP 3,564,082 &larr; 3,568,392]	EG10380 // EG10377	-
TU0-4905	PC00061	[gapA 1,862,691 &rarr; 1,863,766]	EG10367	+
TU0-13086		[ycaL 960,264 &rarr; 961,028]	G6470	+
TU0-8511	CPLX0-8563 // PD00353	[slyA 1,720,390 &larr; 1,720,824]	G6882	-
TU00031	PD03576 // CPLX0-226 // PHOSPHO-ARCA	[glpD 3,561,907 &rarr; 3,563,518]	EG10394	+
TU0-13489	PD00353	[yeeED 2,084,226 &larr; 2,085,552]	EG11895 // EG11894	-
TU0-13966	PHOSPHO-PHOB	[yhjC 3,672,136 &rarr; 3,673,313]	EG12247	+
TU00414	PD00353	[rlmE-ftsH 3,324,942 &larr; 3,327,731]	EG11506 // EG11507	-
TU0-14403		[cyaA 3,990,774 &rarr; 3,993,699]	EG10170	+
TU0-3561		[asnW 2,057,926 &larr; 2,058,102]	G7069	-
TU0-4682	PD03585 // MONOMER0-1301 // CPLX0-226 // EG12386-MONOMER	[idnDOTR 4,490,141 &larr; 4,494,435]	G7891 // EG12539 // G7892 // G7893	-
TU0-13070	CPLX0-7756	[rybB 887,979 &larr; 888,057]	G0-8880	-
TU0-8494	CPLX-123 // PD00353	[purT 1,930,857 &rarr; 1,932,059]	EG11809	+
TU00015	CPLX0-7639 // CPLX0-226	[cirA 2,244,778 &larr; 2,246,929]	EG10155	-
TU0-13470	EG12386-MONOMER	[yodB 2,042,368 &rarr; 2,042,898]	G7062	+
TU0-13946		[yhhT 3,611,865 &rarr; 3,612,914]	EG12220	+
TU00397		[treR 4,466,284 &larr; 4,467,271]	EG12202	-
TU0-14378	MONOMER0-164 // G7072-MONOMER	[cynTS 358,704 &rarr; 360,278]	EG10175 // EG10176	+
TU0-3364		[rrsB-gltT-rrlB-rrfB 4,166,484 &rarr; 4,171,962]	EG30071 // EG30078 // EG30032 // EG30085	+
TU0-45281	CPLX0-7748	[cpxRA 4,103,602 &larr; 4,105,686]	EG10163 // EG10020	-
TU0-13052	G7619-MONOMER // PD00353	[ybiJ 837,665 &larr; 837,925]	EG12422	-
TU0-45224	PD01379 // CPLX0-7748 // EG11356-MONOMER // MONOMER0-4276 // CPLX0-3930	[csgBAC 1,103,821 &rarr; 1,105,293]	G6548 // G6547 // EG11489	+
TU0-8477	G7072-MONOMER // EG12386-MONOMER	[cysS 554,577 &rarr; 555,996]	EG10196	+
TU0-964		[mpl 4,455,760 &rarr; 4,457,158]	EG12440	+
TU0-13451		[pgsA 1,992,269 &larr; 1,992,847]	EG10706	-
TU0-13928	PHOSPHO-ARCA	[igaA 3,526,469 &rarr; 3,528,604]	G7741	+
TU00381	EG12105-MONOMER	[pflB 951,207 &larr; 953,641]	EG10701	-
TU0-14359	PD00288	[rcsDB 2,313,452 &rarr; 2,316,827]	EG10821 // EG12385	+
TU0-3103		[trxA 3,965,687 &rarr; 3,966,136]	EG11031	+
TU0-45265	PHOSPHO-ARCA // PD00967 // G6789-MONOMER	[appCBA-yccB 1,037,710 &rarr; 1,041,915]	G0-10588 // EG11380 // EG11379 // EG10049	+
TU0-13036		[lysQ 781,577 &rarr; 781,843]	G6392	+
TU0-4521		[gntR 3,577,622 &larr; 3,578,818]	EG12630	-
TU0-8368	G7072-MONOMER	[cobUST 2,063,388 &larr; 2,065,972]	EG12151 // EG12150 // EG13238	-
TU0-8864		[pdxH-tyrS-pdxY 1,715,026 &larr; 1,718,034]	G6879 // EG11043 // EG11487	-
TU0-13434	G7072-MONOMER	[yobB-exoX 1,925,440 &rarr; 1,926,782]	G7016 // G7015	+
TU0-13909	G7072-MONOMER	[mscL 3,438,001 &rarr; 3,438,434]	EG11180	+
TU00364	CPLX0-7756 // EG12386-MONOMER	[tehAB 1,500,535 &rarr; 1,502,155]	EG11883 // EG11884	+
TU0-14341		[yraM 3,293,400 &rarr; 3,295,436]	G7642	+
TU0-2562	CPLX0-7639	[exbD 3,150,552 &larr; 3,151,390]	EG10272	-
TU0-4525	PC00010	[recAX 2,822,139 &larr; 2,823,819]	EG12080 // EG10823	-
TU0-13018		[miaB 693,531 &larr; 694,955]	G6364	-
TU0-45194		[arrS 3,657,985 &larr; 3,658,054]	G0-10694	-
TU0-8349		[macB 920,347 &rarr; 922,293]	G6462	+
TU0-8838		[intG 2,012,502 &rarr; 2,012,780]	G7044	+
TU0-13418		[pdeD 1,898,427 &rarr; 1,900,025]	G6996	+
TU0-13893		[yhcF 3,366,755 &rarr; 3,367,642]	G7673	+
TU00347	PHOSPHO-ARCA // CPLX0-7797	[rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ 3,448,267 &larr; 3,453,442]	EG10916 // EG10887 // EG10877 // EG10902 // EG10882 // EG10918 // EG10865 // EG10883 // EG10867 // EG10866 // EG10909	-
TU0-14320		[yfhG 2,688,793 &larr; 2,689,506]	EG12139	-
TU0-2302	CPLX0-8075 // CPLX0-7796	[metNIQ 220,113 &larr; 222,714]	EG11504 // EG11737 // EG11621	-
TU0-45234	PC00027 // CPLX0-226 // CPLX0-7705 // EG11356-MONOMER // G7072-MONOMER // PD00353 // PHOSPHO-ARCA	[osmY 4,610,967 &rarr; 4,612,001]	EG11391	+
TU0-13002		[ybeM 658,031 &rarr; 658,818]	EG12208	+
TU0-45178	CPLX0-226 // PD00288 // CPLX0-2021 // PD03028 // PD00261	[galE 790,312 &larr; 792,081]	EG10362	-
TU0-8330	PD00214 // CPLX0-7680 // PD00406 // CPLX0-7639	[zinT 2,041,346 &rarr; 2,042,025]	G7061	+
TU0-8822		[mrcA 3,522,826 &rarr; 3,525,448]	EG10748	+
TU0-13402	PD00353	[dgcJ 1,872,041 &rarr; 1,873,531]	G6972	+
TU0-13876		[yraR 3,298,211 &larr; 3,298,897]	G7646	-
TU00328		[rcsC 2,317,027 &larr; 2,319,876]	EG10822	-
TU0-14301	EG12386-MONOMER	[yadN 156,299 &larr; 156,883]	EG12328	-
TU0-1881	CPLX0-8083	[iscRSUA 2,659,563 &larr; 2,662,199]	EG12132 // G7324 // G7325 // G7326	-
TU0-12985	PD00353	[ybdG 603,416 &larr; 604,663]	G6323	-
TU0-45160	PD00353	[yrbN-deaD 3,305,971 &larr; 3,308,698]	EG10215 // G0-10651	-
TU0-8262	PC00010 // G7072-MONOMER	[insK 3,721,065 &rarr; 3,722,049]	G7777	+
TU0-8807		[guaC 113,444 &rarr; 114,487]	EG10422	+
TU0-13383	G7072-MONOMER	[hxpB 1,809,326 &rarr; 1,810,048]	G6932	+
TU0-13859		[alx 3,238,580 &rarr; 3,239,545]	G7607	+
TU00310	CPLX0-7797 // PHOSPHO-ARCA // PC00027 // PHOSPHO-NARL // CPLX0-7748 // PD00353	[nuoABCEFGHIJKLMN 2,390,005 &larr; 2,405,162]	EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12089 // EG12088 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12082	-
TU0-14276	PD00353	[modABC 794,995 &rarr; 797,612]	EG10152 // EG10002 // EG12427	+
TU0-1681	CPLX0-7756 // PC00027 // CPLX0-226	[sodB 1,735,262 &rarr; 1,736,114]	EG10954	+
TU0-12966		[sfmA 558,212 &rarr; 558,754]	G6290	+
TU0-4482	PC00103	[mngAB 765,811 &rarr; 770,611]	EG13236 // EG13235	+
TU0-8150		[msyB 1,113,807 &larr; 1,114,213]	EG11338	-
TU0-13367		[rydB 1,764,713 &larr; 1,764,780]	G0-8876	-
TU0-8789		[dsrB 2,024,635 &larr; 2,024,823]	G7045	-
TU0-13842	G7072-MONOMER	[ygiL 3,185,414 &rarr; 3,185,965]	EG12363	+
TU00292		[kdpDE 721,056 &larr; 724,414]	EG10517 // EG10516	-
TU0-1425	CPLX0-228	[ftsZ 104,636 &rarr; 106,456]	EG10347	+
TU872	EG12386-MONOMER // CPLX0-228	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,380]	EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081	-
TU0-14820	PD00353	[eno 2,906,643 &larr; 2,907,968]	EG10258	-
TU0-12946	EG12386-MONOMER	[ybaN 490,882 &rarr; 491,259]	EG12843	+
TU0-44214	PD00353	[btuE 1,793,558 &larr; 1,794,129]	EG10129	-
TU0-8001	CPLX0-7705 // PD00353	[glnQ 845,741 &larr; 846,631]	EG10389	-
TU0-13351		[blr 1,704,512 &rarr; 1,704,676]	G0-9561	+
TU0-8767	PD00353	[amiC 2,947,757 &larr; 2,949,010]	G7458	-
TU0-13825	CPLX0-7916	[yqhG 3,157,545 &rarr; 3,158,576]	G7566	+
TU00275		[fliFGHIJK 2,013,205 &rarr; 2,019,513]	EG11347 // EG11654 // EG11656 // G377 // G378 // G379	+
TU00272	CPLX0-3930	[flgAMN 1,129,414 &larr; 1,130,885]	G6562 // G369 // G357	-
TU0-14227		[qorA 4,263,248 &larr; 4,264,304]	EG11492	-
TU791	G7072-MONOMER	[xapR 2,521,334 &larr; 2,522,505]	EG11146	-
TU0-14793	PHOSPHO-BAER // CPLX0-7748	[acrD 2,587,550 &rarr; 2,590,708]	EG10014	+
TU0-12925		[yajR 445,302 &larr; 446,687]	G6241	-
TU0-44196		[allB 539,041 &rarr; 540,508]	G6281	+
TU0-7746	PHOSPHO-EVGA // EG12386-MONOMER	[yfdX 2,488,023 &larr; 2,494,433]	G7234 // G7235 // G7236 // G7237 // G7238	-
TU0-13330		[dicF 1,649,382 &rarr; 1,649,434]	EG31115	+
TU0-8747		[ygdI 2,942,918 &larr; 2,943,145]	G7453	-
TU0-13805		[rsmE-gshB 3,091,134 &rarr; 3,092,828]	EG10419 // EG12366	+
TU00255	CPLX0-226 // PD00353 // G7072-MONOMER	[dadAX 1,237,457 &rarr; 1,239,949]	EG11407 // EG11408	+
TU0-14210		[lgoT 4,593,361 &larr; 4,594,722]	EG12587	-
TU686	CPLX0-7797 // G7308-MONOMER // MONOMER0-183 // CPLX0-226	[hyfABCDEFGHIJR-focB 2,601,010 &rarr; 2,614,782]	G7309 // G7308 // G7307 // G7306 // G7305 // G7304 // G7303 // G7302 // G7301 // G7300 // EG11282 // EG11150	+
TU0-14764	G7072-MONOMER	[ivbL-ilvBN-uhpABC 3,847,305 &larr; 3,852,988]	EG11053 // EG11052 // EG11051 // EG10502 // EG10494 // EG11275	-
TU0-12904		[insC1CD1D1 381,351 &rarr; 382,579]	G6213 // G6212 // G0-10541	+
TU0-42697		[fucO 2,931,865 &larr; 2,933,223]	EG10351	-
TU0-7521	PD00353 // PHOSPHO-ARCA	[sthA 4,159,390 &larr; 4,160,802]	EG11428	-
TU0-13313	EG12386-MONOMER	[ydfI 1,629,453 &larr; 1,630,913]	G6816	-
TU0-8731	G7072-MONOMER	[yfbK 2,383,995 &larr; 2,385,722]	G7177	-
TU0-13786		[idi 3,033,065 &rarr; 3,033,613]	G7508	+
TU00239	CPLX0-7734	[arsRBC 3,648,470 &rarr; 3,650,662]	EG12235 // EG12236 // EG12237	+
TU0-14193	CPLX0-226 // CPLX0-8563 // EG12386-MONOMER	[sgcXBCQAER 4,526,106 &larr; 4,531,651]	EG12557 // G0-10241 // EG12556 // G7915 // EG12554 // G7914 // G7913	-
TU592	EG12278-MONOMER // PC00027 // CPLX0-226	[yiaKLMNO-lyx-sgbHUE 3,742,568 &rarr; 3,750,781]	EG12281 // EG12287 // EG12286 // EG12285 // EG12284 // EG12283 // EG12282 // EG12280 // EG12279	+
TU0-14737	MONOMER-51	[fadR 1,234,905 &rarr; 1,235,698]	EG10281	+
TU0-1261	G7072-MONOMER	[chpSB 4,448,428 &rarr; 4,449,042]	EG12096 // EG11250	+
TU0-12886		[rclR 320,227 &rarr; 321,081]	G6175	+
TU0-42660		[serW 925,843 &larr; 926,043]	EG30096	-
TU0-7201	G7331-MONOMER // G7072-MONOMER	[hcaR 2,668,006 &larr; 2,668,964]	G7331	-
TU0-13295		[yneL 1,590,334 &larr; 1,590,536]	G6796	-
TU0-8715	G7072-MONOMER	[yebQ 1,910,276 &rarr; 1,911,649]	G7004	+
TU0-13769		[ygeQ 2,998,034 &larr; 2,998,828]	G7483	-
TU00223	G7072-MONOMER // PD00353	[sdaA 1,896,809 &rarr; 1,898,331]	EG10930	+
TU0-14174		[yjgL 4,475,437 &rarr; 4,477,251]	G7884	+
TU526		[ilvEDA 3,952,388 &rarr; 3,957,123]	EG10493 // EG10496 // EG10497	+
TU0-14694		[pstB-phoU 3,906,853 &larr; 3,908,447]	EG10735 // EG10783	-
TU0-1184		[rrsC-gltU-rrlC-rrfC 3,941,633 &rarr; 3,947,067]	EG30072 // EG30079 // EG30033 // EG30086	+
TU0-12870		[insA3B3AB3 290,649 &larr; 291,346]	G6146 // G6145 // G0-10538	-
TU0-42608	CPLX0-7748	[yqaE-kbp 2,796,337 &larr; 2,797,085]	G7395 // G7396	-
TU0-7	CPLX0-7748	[tsr 4,591,403 &rarr; 4,593,312]	EG11034	+
TU0-13277		[yncI 1,530,586 &rarr; 1,531,639]	G6767	+
TU0-8698		[ydbJ 1,441,029 &rarr; 1,441,324]	G0-10450	+
TU0-13751		[aas-lplT 2,972,669 &larr; 2,976,014]	EG11679 // EG12455	-
TU00206	PD03867 // CPLX0-226 // EG11721-MONOMER	[rbsDACBKR 3,933,259 &rarr; 3,939,219]	EG10819 // EG10817 // EG10814 // EG10816 // EG10815 // EG10818	+
TU0-14158	G7072-MONOMER	[fklB 4,428,935 &rarr; 4,429,555]	G7865	+
TU484		[pdxJ-acpS 2,700,618 &larr; 2,701,813]	EG10247 // EG10693	-
TU0-14674	PD00353	[groL 4,370,976 &rarr; 4,372,671]	EG10599	+
TU0-1022	G7326-MONOMER // CPLX0-8061 // CPLX0-7639	[nrdHIEF 2,800,595 &rarr; 2,804,461]	G7401 // G7402 // EG12381 // EG20257	+
TU0-12852		[lafU 250,072 &rarr; 250,827]	G6114	+
TU0-42583	PD03028 // CPLX0-2021 // PD00288 // PD00261 // CPLX0-226	[galETK 788,615 &larr; 792,081]	EG10363 // EG10366 // EG10362	-
TU0-6821		[cstA 629,873 &rarr; 632,091]	EG10167	+
TU0-13260		[ydcH 1,498,651 &rarr; 1,498,875]	EG12865	+
TU0-8681		[yccX 1,030,064 &rarr; 1,030,342]	G6502	+
TU0-13735		[rlmD 2,913,699 &larr; 2,915,043]	EG11247	-
TU00190	CPLX0-7748 // EG12116-MONOMER // PC00061 // CPLX0-7710 // PD00365 // PD00406 // CPLX0-7705 // PD04418 // CPLX0-226 // G7072-MONOMER	[marRAB 1,619,012 &rarr; 1,620,207]	EG11435 // EG11434 // EG11599	+
TU0-14140		[dsbD-yjdC 4,362,733 &larr; 4,365,042]	EG12178 // EG12176	-
TU368	EG12278-MONOMER // CPLX0-226 // PC00027	[plaR 3,741,684 &larr; 3,742,618]	EG12278	-
TU0-14651	PHOSPHO-TORR	[rpoS 2,866,559 &larr; 2,867,654]	EG10510	-
TU-8428		[ydhIJK 1,720,998 &rarr; 1,724,133]	G6885 // G6884 // G6883	+
TU0-12835	CPLX0-226 // G7072-MONOMER // PD00353	[yaeQ-arfB-nlpE 214,280 &rarr; 215,979]	EG12137 // EG12354 // G6098	+
TU0-42560		[degQ 3,380,698 &rarr; 3,382,178]	G7682	+
TU0-6647		[dnaQ 235,934 &rarr; 236,798]	EG10243	+
TU0-13242		[ydbH-ynbE-ydbL 1,443,051 &rarr; 1,446,206]	G6705 // G6704 // G6703	+
TU0-8662		[ytfA 4,427,694 &rarr; 4,428,095]	G7863	+
TU0-13718		[pncC 2,823,849 &larr; 2,824,394]	G7409	-
TU00174	PC00027	[ihfA 1,795,216 &larr; 1,795,721]	EG10440	-
TU0-14122	EG11544-MONOMER // G7072-MONOMER // PD00353	[yjbQR 4,270,214 &rarr; 4,271,061]	EG11936 // EG11935	+
TU343	CPLX0-7705 // G7072-MONOMER	[metY 3,318,031 &larr; 3,318,297]	EG30061	-
TU0-14633	CPLX0-7797	[pykA 1,937,494 &rarr; 1,939,091]	EG10803	+
TU-8397		[greA 3,328,239 &larr; 3,328,853]	EG10415	-
TU0-12817		[yadE 145,081 &rarr; 146,310]	EG11749	+
